Review Date,Employee ID,Department,Strengths,Weaknesses,Training Needs
2023-06-07,16,Admin,"-excellent written and verbal communication skills
-attention to detail
-ability to multitask
-organizational skills
-ability to work independently
-strong customer service skills","A possible weakness for an employee in the Admin department could be that they are not particularly skilled at multitasking or working on multiple projects at the same time. This can lead to them feeling overwhelmed and stressed, which can impact their work performance. Another potential weakness could be that they have difficulty dealing with change, particularly when it comes to changes in the work schedule or office layout. This can make","In order to continue working in the Admin department, an employee will need to complete training in:

-The use of the office phone system
-The use of office email
-Office filing procedures
-How to use the office printer"
2023-06-12,17,IT,"Some strengths that an employee in the IT department might have include being able to effectively trouble shoot and solve problems, having a strong working knowledge of relevant software and coding languages, and being able to effectively communicate with others in the department to resolve issues.","An employee in the IT department might have weaknesses in job-specific technical skills, or might be inexperienced with certain types of technologies. They might also have difficulty communicating with non-technical staff or customers.","An employee in the IT department might need training in computer hardware and software, networking, and information security."
2023-06-09,18,Operations,"Some strengths that an employee in the Operations department might have include:

-Being able to work well under pressure
- Being able to stay calm in chaotic situations
- Having strong attention to detail
- Being able to work quickly and efficiently
- Being able to prioritize and manage multiple tasks simultaneously
- Having strong organizational skills
- Being able to problem solve quickly and effectively","1. Weaknesses in terms of operations may include inefficiencies in the way work is carried out on a daily basis, poor communication between departments, and a lack of standardization in processes.

2. Other weaknesses may include a lack of skilled workers, a high turnover rate, and a lack of investment in new technologies.","-An operations employee will need to be familiar with the company's product and how it is produced

-The employee will need to be able to use the company's machines and equipment

-The employee will need to be able to read and follow instructions

-The employee will need to be able to work well with others

-The employee will need to be able to"
2023-06-25,19,Finance,"-Analytical ability
-Attention to detail
-Organizational skills
-Communication skills
-Problem-solving skills","If an employee in the finance department is not good with numbers, then they may have difficulty performing their job duties. They may also have difficulty understanding financial concepts and communicating with other finance professionals.","-Finance basics
-How to read a financial statement
-How to use financial software
-How to create financial models
-How to do financial analysis"
2023-06-28,20,HR,"Some strengths that an employee in the HR department might have could include being organized, having excellent communication skills, being able to handle confidential information discreetly, being detail-oriented, and being able to multitask.","-The employee may not have enough experience in the HR field.
-The employee may not be familiar with all of the HR policies and procedures.
-The employee may not be familiar with all of the latest HR technologies.","The training needs for an employee in the HR department will vary depending on their position within the department. Generally, HR employees will need to be trained on the latest HR laws and regulations, as well as on how to use HR software and tools."
2023-06-15,21,HR,"Some possible strengths for an employee in the HR department could include being organized, being able to keep confidential information, and being good at communication.","- Difficulty when it comes to handling conflict
- A lack of ability to be assertive
- A tendency to be overly emotional
- A lack of objectivity
- A fear of confrontation","Assuming the employee is new to the HR department, they will need training on the various duties of an HR department which can include: 
-Recruitment and selection
-Onboarding
-Benefits administration
-Performance management
-Learning and development
-Employee relations
- Compensation and payroll
-Policy development and implementation"
2023-06-06,22,Admin,"Punctuality, multitasking, time-management, customer service, data entry.","- May not be organized
- May not be efficient
- May not be good at communicating","An employee in the Admin department would need training in office procedures, record keeping, and filing systems. Additionally, they would need to be trained in using the various office equipment and software programs that are used in the department."
2023-06-17,23,Finance,"Some strengths that an employee in the finance department might have include:

-Analytical skills: Finance professionals need to be able to analyze data and financial reports in order to make sound decisions about where to allocate resources.

-Profit-driven: In order to be successful in finance, employees need to be motivated by the potential for financial gain.

-Attention to","-Risk-averse
-Cautious
-May be resistant to change","Some examples of training that may be beneficial for an employee in the finance department include:

-Basic accounting
-Financial analysis
-Budgeting and forecasting
-Financial statement analysis
-Corporate finance
-Valuation
-Investment analysis
-Risk management
-Derivatives
-Financial modeling"
2023-06-07,24,HR,"An employee in the HR department might be good at communicating with people, organizing information, and handling confidential information.","An employee in the HR department may have weaknesses in interpersonal skills, communication, and organizational skills.","Some examples of training that could be beneficial for an HR employee are: management and interpersonal skills, communication skills, conflict resolution, working with sensitive information/data, and employment law."
2023-06-18,25,Operations,"Some strengths that an employee might have in the Operations department could include:
- Being able to work well under pressure
- Being able to stay calm and collected in stressful situations
- Having strong attention to detail
- Being able to work well independently
- Being able to take initiative and be proactive
- Being able to work well in a team environment
- Having strong organizational skills",An employee who works in the Operations department may be responsible for supervising the work of other employees. They may also be responsible for ensuring that work is completed on time and that deadlines are met. They may also be responsible for ensuring that quality standards are met.,"The employees in the Operations department may require training on the job they are performing, as well as safety training."
2023-06-01,26,Operations,"An employee in the Operations department may have strengths in organizational skills, time management, or multitasking. They may also be skilled in working with difficult customers or scheduling conflicts.","The main weaknesses for an employee in the Operations department would be a lack of knowledge in the specific area they are working in, and a lack of understanding of the company's overall goals and objectives. Additionally, an employee in this department might have difficulty communicating with other departments within the company.",Employees in the Operations department will need to be trained on the company's operational procedures and systems. They will also need to be trained on how to use the company's tools and equipment.
2023-06-26,27,Admin,"-Clear and concise communication
-Thorough and detail oriented
-Ability to stay calm under pressure
-Great organizational skills
-Resourceful and able to think on their feet","-Inability to work well under pressure
-Lack of organizational skills
-Inability to multitask
-Lack of attention to detail
-Tendency to be forgetful","In order to be an effective administrator, one must have exceptional organizational skills, the ability to multitask, and excellent communication skills. They must also be proficient in various office software programs and have a strong understanding of office procedures."
2023-06-05,28,HR,"Some strengths that an employee in the HR department might have include:

- being organized and efficient in handling employee paperwork and files
- being able to effectively communicate with employees and managers
- having a good working knowledge of employment law
- being able to use HR software programs to manage employee data
- being detail-oriented and accurate when entering employee data into systems
- being","-may not be good with numbers or computers
-may not be assertive enough
-may not be able to handle conflict well","The employee would need to be trained in human resources policies and procedures, as well as how to use the HRIS system. The employee would also need to be trained on how to conduct interviews, how to write job descriptions, and how to recruit candidates."
2023-06-27,29,IT,"1. Ability to quickly learn and adapt to new technologies
2. Strong analytical and problem-solving skills
3. Excellent communication and interpersonal skills
4. Ability to work independently and as part of a team
5. Strong attention to detail and organizational skills","An employee in the IT department might have weaknesses in computer hardware and software knowledge, as well as an understanding of how information technology is used in businesses.","1. Basic IT training will be needed for all new employees in the IT department. This will cover topics such as using the company network, understanding basic hardware and software, and how to troubleshoot common problems.

2. Employees who will be working with specific software or hardware will need more specific training on how to use and troubleshoot those products.

3. Employees"
2023-06-05,30,Admin,"-The ability to stay organized and keep track of deadlines
-Attention to detail
-The ability to communicate effectively with co-workers and customers
-The ability to work independently
-The ability to multitask","-Frequent absences
-Missed deadlines
-Inaccurate work
-Disorganized
-Lack of initiative
- poor communication skills","The basics of customer service, including how to handle customer inquiries and complaints

The basics of office administration, including how to manage files, schedule appointments, and handle correspondence

How to use office equipment, including computers, fax machines, and photocopiers

How to handle sensitive or confidential information

How to make travel arrangements

How to plan and coordinate events"
2023-06-21,31,HR,"Some strengths that an employee in the HR department might have include being organized, being able to communicate effectively, and being able to handle confidential information.","An employee in the HR department may be weak in certain areas such as communication, people skills, and organization.","An employee in the HR department may need training in a number of areas. They may need training on how to use HRIS software, how to conduct performance reviews, how to investigate workplace complaints, and how to develop employee retention programs."
2023-06-13,32,Admin,"-Excellent written and verbal communication skills
-Organized and detail oriented
-Able to prioritize and manage multiple tasks
-Flexible and adaptable
-Friendly and personable","-Can be disorganized
-Lacks attention to detail
-Can be forgetful
-Can be overbearing
-Can be inflexible","-Familiarity with office equipment and software
-Knowledge of basic office procedures
- Strong communication and interpersonal skills
-Ability to multitask and prioritize"
2023-06-21,33,Finance,"Some strengths that an employee in the finance department might have include excellent mathematical skills, the ability to analyse and interpret data, and strong analytical and problem-solving skills.","- May be resistant to change
- May be risk-averse
- May be reluctant to take risks
- May be overly cautious
- May be inflexible
- May be numbers-oriented
- May be detail-oriented
- May be analytical","An employee in the Finance department will need training on topics such as accounting, budgeting, and financial analysis. Additionally, they will need to be familiar with the specific software and tools used by the department."
2023-06-08,34,Admin,This employee is highly organized and has a great attention to detail. They are able to work independently and are very efficient in their work. They have excellent written and verbal communication skills and are able to handle a variety of tasks at one time.,"- can be disorganized
- might have difficulty meeting deadlines
- might have difficulty communicating with others","An employee in the Admin department needs training in MS Office, telephone etiquette, and customer service."
2023-06-04,35,Finance,"-Analytical skills
-Profit and loss analysis
-Strategic financial planning
-Strong Excel skills
-Pro forma analysis
-Finance modeling
-Finance presentations
-P&L management
-Ability to work with large data sets
-Experience with financial software applications",This employee may have difficulty understanding and keeping up with the financial computations and analysis required in this department. They may also have difficulty communicating with co-workers and superiors about financial matters.,"The finance department generally requires employees to have a bachelor's degree in accounting or a related field. However, many employers may also require finance employees to have a master's degree in business administration (MBA) or a Certified Public Accountant (CPA) certification. Some specific job roles within the finance department may require additional training or certifications, such as financial analysts or financial managers."
2023-06-20,36,IT,"-The ability to communicate difficult technical information to non-technical staff and customers
-A strong understanding of computer systems and networking
-In-depth knowledge of various programming languages
-The ability to troubleshoot complex technical issues
-The ability to work independently and as part of a team
-Strong analytical and problem-solving skills
-Attention to detail
-The","1. They might not have a lot of experience with the latest technology.

2. They might not be very good at problem solving.

3. They might not be very good at customer service.","1. Basic IT training will equip the employee with essential skills and knowledge in key areas such as computer hardware, software, networking, databases, and security.

2. More specialized IT training may be necessary for employees who are responsible for specific tasks or functions within the department, such as system administration, web development, or database administration.

3. IT employees should also be familiar"
2023-06-17,37,Admin,This employee is highly organized and has a great attention to detail. They are always on time and fulfill their responsibilities. They have excellent written and verbal communication skills.,"This person may be disorganized, which could lead to lost documents or misplaced files. They may also have difficulty communicating with others, which could make it difficult to resolve conflicts or give clear instructions.","The employee in the Admin department will need to know how to use the company's email system, how to file paperwork, how to use the company's scheduling system, and how to use the company's customer service system."
2023-06-25,38,Admin,"Some strengths that an employee in the Admin department might have are good organizational skills, the ability to multitask, and good communication skills.","This department is generally responsible for a lot of the ""behind the scenes"" work in an organization, so weaknesses could include lack of attention to detail, poor time management, or difficulty working independently.","The Admin department requires an employee to have excellent written and oral communication skills. They should also be able to work independently and be organized. Additionally, they should have experience with office software and be able to type quickly."
2023-06-14,39,IT,"Some strengths that an employee in the IT department might have include:

- being able to quickly learn and adapt to new technologies
- having strong problem-solving skills
- being detail-oriented
- being able to effectively communicate with others
- having strong organizational skills","Some potential weaknesses for an employee in the IT department could include:

-Lack of experience with certain technologies
-Inability to adapt to changing technologies
-Lack of creative problem solving skills
-Fondness for outdated technologies
-Resistance to change","Employees in the IT department need to be trained in the use of the various software programs that the company uses, as well as in the troubleshooting and repairing of computer hardware. They also need to be familiar with the company's network infrastructure and how to maintain it."
2023-06-06,40,Finance,"Some strengths that an employee in the finance department might have could include being able to manage money well, being able to do math quickly and accurately, being able to find creative solutions to financial problems, and being able to communicate financial information to others in a clear and concise way.","-May be too analytical and lack creative thinking
-May be too risk-averse
-May be too focused on short-term results","An employee in the Finance department may need training in financial analysis, budgeting, and forecasting. They may also need training in accounting and finance software applications."
2023-06-01,41,IT,"Some strengths that an employee in the IT department might have include being able to effectively communicate difficult technical concepts to non-technical staff, being able to maintain a high level of productivity even when working on complex projects, and having a strong understanding of a wide range of IT-related topics.","- An employee in the IT department may be weak in customer service skills.
- An employee in the IT department may not have strong people skills.
- An employee in the IT department may be weak in problem-solving skills.","-Basic training on computer systems and software
-How to troubleshoot common computer problems
-How to effectively use common office software programs
-How to set up and maintain a network
-How to keep computers and software updated and secure
-How to train users on new computer systems and software"
2023-06-19,42,IT,"-Analytical skills
-Problemsolving skills
-Logical reasoning
-Technical skills
-Creativity
-Attention to detail","Some weaknesses that an employee in the IT department might have include:

-Not being able to keep up with the latest technologies
-Not being able to troubleshoot complex issues
-Not being able to effectively communicate with non-technical staff","There are many types of IT positions, so the training needs will vary depending on the job. However, some general training needs for IT employees may include:

- Learning how to use specific software programs or applications
- Understanding basic computer programming concepts
- Developing strong problem-solving skills
- mastering specific hardware platforms
- Learning best practices for IT security and data privacy"
2023-06-26,43,Operations,"Some strengths for an employee in the Operations department might include being detail-oriented, organized, able to work well under pressure, and having good problem-solving skills.","- Employee may not have strong attention to detail
- May not be able to work well under pressure
- May not be able to handle multiple tasks simultaneously","If an employee is new to the Operations department, they will need to be trained on the department's policies and procedures. They will also need to be trained on the specific tasks they will be responsible for, such as resource allocation, course scheduling, and event planning."
2023-06-08,44,Operations,"-Good communication skills
-Able to work well under pressure
-Organized
-Able to multitask
-Flexible","1. May not be able to work well under pressure
2. May not be able to handle multiple tasks simultaneously
3. May not be able to troubleshoot problems quickly
4. May not be familiar with all aspects of the operation
5. May not be able to work autonomously","Operations department employees need to be trained on company policies and procedures, as well as on the specific procedures for their department. They also need to be trained on safety procedures and on how to use the company's computer systems."
2023-06-17,45,Admin,"Some strengths that an employee in the Admin department might have include being highly organized, good at multitasking, and having strong attention to detail.","A bit too much talking, sometimes interrupts other people working.","The admin department generally needs employees who are organized and efficient. They should be able to juggle many tasks at once and be able to think on their feet. They should also be proficient in using office software, such as Microsoft Office. Training for an employee in the admin department should cover these topics."
2023-06-10,46,Admin,"- Reliable
- Organized
- Good at multitasking
- Works well under pressure
- Excellent written and verbal communication skills",An employee in the Admin department might have weaknesses in terms of their ability to handle a lot of paperwork and be organized. They may also have difficulty dealing with customers or clients who are angry or upset.,"The employee will need admin training in order to learn how to perform their duties effectively. This will include training on how to use the company's admin software, as well as how to handle customer inquiries and requests."
2023-06-07,47,IT,"Some strengths that an employee in the IT department might have include strong analytical skills, the ability to solve complex problems, and experience with a variety of programming languages.","-A lack of understanding or interest in the IT field
-A lack of technical skills
-A lack of experience working with computers or other technology
-A lack of problem-solving skills
-A lack of ability to troubleshoot issues
-A lack of patience
-A lack of ability to work well under pressure","-An employee in the IT department may need training in computer programming, network administration, and information security.
-An employee in the IT department may also need training in customer service and communication, in order to effectively help customers who are having technical problems."
2023-06-08,48,Operations,"This employee is able to take on a lot of responsibility, is very organized, and is able to work well under pressure. This employee is also able to communicate clearly and effectively.","An employee in the Operations department may be weak in project management, strategic planning, or multitasking.",The employee would need to be trained in the company's business model and the process flow for the Operations department. They would need to be trained on the company's software and how to use it to track the data and information for the department. They would need to be trained on safety procedures and protocols that are specific to the department.
2023-06-15,49,Admin,"Some strengths for an employee in the Admin department might be that the employee is organized, detail oriented, and able to work independently.","An employee in the Admin department may be weak in certain clerical skills, such as filing or operating office machines. They may also be less knowledgeable in certain administrative procedures, such as bookkeeping or scheduling.","The employee will need to be trained on the company's phone system, email system, and how to use the company's intranet. They will also need to be trained on the company's office software, and how to use the company's customer relationship management system."
2023-06-23,50,Finance,"talent for analyzing financial data, excellent mathematical skills, strong analytical and problem-solving ability, great attention to detail, strong multitasking and time management skills, good communication and interpersonal skills.","- weakness in financial analysis
- inability to find creative solutions to financial problems
- lack of experience in financial management
- lack of understanding of financial concepts
- inability to communicate effectively with other financial staff","Some examples of training needs for an employee in the finance department might include:

-Understanding financial statements
-Learning how to use accounting software
-Taking a course in financial analysis
-Becoming familiar with financial regulations
-Learning about investment planning and portfolio management"
2023-06-16,51,Finance,"Analytical skills, mathematical ability, problem-solving skills, financial analysis skills, attention to detail, time management skills, multitasking ability, strong work ethic.","Finance employees might have trouble being unbiased when making decisions, as they could be influenced by their own financial interests. They also might be reluctant to take risks, as they could end up causing financial losses for the company.","-Understanding of financial statements
-Ability to use financial accounting software
-Basic knowledge of generally accepted accounting principles (GAAP)
-Strong analytical and problem solving skills
-Effective communication skills"
2023-06-16,52,IT,"An employee in the IT department might have strengths in technical skills, customer service, or problem solving. They might also be good at working in a team, multitasking, or providing training and support to others.","-lack of formal training in specific software or hardware
-unwillingness to learn new things
-inability to work well with others
-lack of attention to detail
-poor communication skills","The IT department may require employees to have specific training in software, hardware, and other technology. In addition, employees may need to be trained in troubleshooting, customer service, and other skills related to the IT field."
2023-06-09,53,Admin,"-Able to work independently
-Able to take initiative
-Able to multi-task
-Able to prioritize
-Able to stay organized
-Proactive
-Detail-oriented
-Good communication skills
-Good customer service skills","-Difficulty communicating with others
-Shyness
-little to no experience","The Admin department generally requires employees to have knowledge in office management, bookkeeping, and general clerical work. However, the specific training needs will vary depending on the company and the position."
2023-06-09,54,Operations,Possessing considerable knowledge of the functions of an organization's operations department and able to provide insightful recommendations for improvement; operations research and analysis skills; able to develop and implement efficient production/inventory control systems; strong oral and written communication skills; interpersonal skills to foster teamwork and collaboration; able to work independently and take initiative; strong problem solving and critical thinking skills; detail oriented.,"1. Lack of knowledge in specific areas of operations
2. Lack of ability to effectively communicate with other departments
3. Lack of ability to troubleshoot and solve problems
4. Lack of ability to work effectively under pressure
5. Lack of ability to multitask","The Operations department requires employees to have certain skills and knowledge in order to perform their job duties effectively. Employees in this department should have strong problem solving skills, be able to multitask and manage multiple projects simultaneously, and have excellent communication skills. In addition, employees should have a basic understanding of the company's operations and how their department fits into the overall company structure. Employees may also need specific"
2023-06-19,55,IT,"Some strengths that an employee in the IT department might have include:

-Strong technical skills
-The ability to troubleshoot and solve complex technical problems
-Good communication skills
-The ability to work well in a team environment
-The ability to work independently
-The ability to learn new technologies quickly","There are a few weaknesses that an employee in the IT department may have. They may not be well-versed in all aspects of IT, or they may only be familiar with certain IT applications and not others. Additionally, they may not be able to troubleshoot every type of IT issue.","The IT department of a company will need employees that are familiar with various computer networks, software, and hardware. They should also be able to understand and solve complex problems. Furthermore, IT employees must be able to communicate effectively with other members of the IT team, as well as with members of other departments in the company."
2023-06-04,56,Operations,"An employee in the Operations department should be organized, efficient, and have a keen eye for detail. They should also be able to multitask and be able to work well under pressure.","There are a few potential weaknesses for employees in an operations department. One weakness could be a lack of understanding of the company's overall strategy and how their role supports it. Another weakness could be a lack of awareness of best practices and processes in their field, leading to inefficiencies. Additionally, some employees in operations may have difficulty adapting to change, since their roles are often more keeping things","-Learn the company's mission and values 
-Learn about the company's products and services 
-Learn about the company's processes and procedures 
-Learn how to use the company's systems and software"
2023-06-24,57,Operations,"Some strengths that would be beneficial for an employee in the Operations department include the ability to effectively manage time, being organized, being able to multitask, and having strong problem-solving skills.","- Lack of technical skills
- Inability to troubleshoot and problem solve
- Limited experience with relevant software
- inexperience in managing and coordinating teams","The Operations department may require employees to receive training on topics such as safety, quality control, manufacturing processes, and project management. Employees may also need to be trained on specific software or equipment used in the Operations department."
2023-06-06,58,IT,"Some strengths that an employee in the IT department might have include being analytical, having strong problem-solving skills, being detail-oriented, being able to work independently, and having good interpersonal skills.","- Limited experience with certain technologies
- Lack of interest in certain topics
- Difficulty understanding complex systems
- Unable to work independently","-Basic computer skills
-How to use common software programs (email, word processing, spreadsheets)
-How to use common hardware devices (keyboard, mouse, printer)
-How to troubleshoot common computer problems
-How to find and use resources for help with computer problems
-How to use the Internet for research
-How to use social media tools for"
2023-06-03,59,IT,"Some strengths for an employee in the IT department might include:
-being able to problem-solve and think critically
-having a strong understanding of various computer programs and software
-being able to effectively communicate with others
-being able to work independently and as part of a team
-being able to stay calm and level-headed under pressure","Technology changes rapidly and an IT Employee needs to continuously update their skills or they will become quickly outdated.
 They need to have a strong understanding of how computer systems work and how they will interact with company software and hardware.
 They need to be able to problem solve and have strong analytical skills.
 They need to have excellent communication skills to be able to explain complex technical problems to non-","Depending on the employee's role in the IT department, they may need training in different areas. For example, someone who works as a help desk technician may need training in customer service, while someone who works as a network administrator may need training in network security."
2023-06-18,60,Finance,"Some strengths that an employee in the finance department may have include being able to quickly learn and understand new financial concepts, being able to manage and analyze large amounts of data, and being able to effectively communicate findings to non-financial staff.","The most common weaknesses for employees in the Finance department are poor money management skills, inadequate financial planning, and insufficient industry knowledge.","An employee in the finance department will need to be trained on financial accounting and reporting, budgeting and forecasting, and financial analysis."
2023-06-04,61,IT,"Some strengths that an employee in the IT department might have include:

-Excellent problem-solving skills
-The ability to think creatively
-Strong logical and analytical skills
-The ability to pay attention to detail
-The ability to work independently
-The ability to work well under pressure
-Strong verbal and written communication skills
-The ability to work effectively in a","1. Lack of technical knowledge
2. Lack of experience
3. Lack of customer service skills
4. Lack of problem-solving skills","The IT department may require employees to receive training on the use of specific software, hardware, or other equipment. They may also need to be trained in computer security procedures and protocols."
2023-06-14,62,HR,"Some possible strengths for an employee in the HR department could include:

- Strong communication and interpersonal skills
- Ability to build relationships and trust
- Conflict resolution skills
- Organized and detail oriented
- Can maintain confidentiality","-Lack of knowledge in labor laws
-Inability to keep up with changes in labor laws
-Minimal experience in handling employee disputes
-Lack of people skills","-An employee in the HR department needs to be properly trained in order to be effective in their role. They need to know how to use the various HR tools and resources available to them, as well as how to properly communicate with employees. They also need to be familiar with the laws and regulations governing HR in order to ensure that they are complying with all of the relevant rules and standards."
2023-06-27,63,HR,"-analytical
-attention to detail
-clear communicator
-good listener
-organized
-patience
-persistent
-resourceful
-thorough","-Lack of experience in the HR field
-Inability to build rapport with employees
-Unprofessionalism
-Lack of knowledge in HR policies and procedures","The employee will need to be knowledgeable in HR policies and procedures, as well as state and federal employment laws. Additionally, the employee will need to be able to effectively communicate with employees and managers, and have strong customer service skills. They will also need to be proficient in using HRIS systems and have strong data entry skills."
